dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,-4.8988546623146965,-223751000.0,-100.5192881215266,257853000.0,-259192000.0,164832610.0
2022-12-31,-6.849536629918073,-186581000.0,-90.37727493856575,320668000.0,-289811000.0,164832610.0
2023-12-31,-8.385252165818402,-248947000.0,-40.26121521862578,531822000.0,-214118000.0,164832610.0
2024-12-31,0.34782464819712167,-211166000.0,-101.78988113608634,693398000.0,-705809000.0,161975295.0
