dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,29.52370554439867,1286000000.0,89.61877756773788,6348000000.0,5689000000.0,468572618.0
2022-12-31,25.898859807545517,1320000000.0,20.19013128112268,6627000000.0,1338000000.0,458900511.0
2023-12-31,24.425845165150328,1797000000.0,39.66735354724757,6794000000.0,2695000000.0,452962832.0
2024-12-31,26.679378370483967,1850000000.0,30.44915954808487,7258000000.0,2210000000.0,450010485.0
