dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,337.38044489995394,3332960000.0,21.428186282568216,16728350000.0,3584582000.0,79531948.0
2022-12-31,372.11192865198984,-2047792000.0,27.82202259179233,16705536000.0,4647818000.0,79533094.0
2023-12-31,416.4608654793792,2928545000.0,24.93571885388783,19512331000.0,4865540000.0,79496221.0
2024-12-31,440.32145252611923,13410659000.0,25.897657709500542,21242284000.0,5501254000.0,79435680.0
