dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-06-30,22.09536838246845,1953398000.0,30.038616891471765,6918734000.0,2078292000.0,152776000.0
2022-06-30,9.866364841612366,3005382000.0,36.0600216047034,9211883000.0,3321807000.0,141804000.0
2023-06-30,21.351027422303474,3328214000.0,32.271902893810775,10496056000.0,3387277000.0,136750000.0
2024-06-30,25.057303328993864,3031191000.0,28.147436565752983,9812247000.0,2761896000.0,134425000.0
