dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-06-30,15.895094339622641,-124200000.0,0.13388642352190375,30398900000.0,40700000.0,132500000.0
2022-06-30,21.481119791666668,61000000.0,0.22104723337282708,50894100000.0,112500000.0,153600000.0
2023-06-30,24.24271844660194,562400000.0,0.6937421731316381,57254700000.0,397200000.0,154500000.0
2024-06-30,26.763294422827496,767400000.0,0.7479255746278388,58281200000.0,435900000.0,154200000.0
