dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,26.67192948069569,1365300000.0,10.069041623044056,14136400000.0,1423400000.0,235194833.0
2022-12-31,26.680371902149215,1212200000.0,10.983822858107644,15991700000.0,1756500000.0,228827395.0
2023-12-31,30.888331918751618,2088900000.0,11.448952346472371,17677600000.0,2023900000.0,227173161.0
2024-12-31,33.35309108277051,2775000000.0,12.94421872952183,19838200000.0,2567900000.0,224473947.0
