dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,25.237099835741475,1074000000.0,12.111390677640838,23449000000.0,2840000000.0,909018871.0
2022-12-31,24.687963819706237,3229000000.0,11.863986100769422,24174000000.0,2868000000.0,911982866.0
2023-12-31,22.53378669027754,3182000000.0,9.17196935921858,24673000000.0,2263000000.0,912274545.0
2024-12-31,19.029180681865594,2560000000.0,1.4093162358146585,24409000000.0,344000000.0,912283103.0
