dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-09-30,63.63236895680788,877700000.0,20.334205172914853,10323000000.0,2099100000.0,221396755.0
2022-09-30,61.767402383216314,303700000.0,17.766525443749703,12698600000.0,2256100000.0,221838696.0
2023-09-30,70.47844700341713,-1420100000.0,18.255555555555556,12600000000.0,2300200000.0,222199845.0
2024-09-30,83.97489296536767,-3150000000.0,31.63644777944895,12100600000.0,3828200000.0,222372418.0
