dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,337.74378387708924,1976000000.0,35.13128192942854,8417000000.0,2957000000.0,65718456.0
2022-12-31,417.33703269576057,3595000000.0,37.587038952085486,14505000000.0,5452000000.0,65371625.0
2023-12-31,483.8485136276217,7004000000.0,26.417384970256165,16474000000.0,4352000000.0,65330365.0
2024-12-31,577.5400790104793,7467000000.0,36.43965437145778,21526000000.0,7844000000.0,63540179.0
