dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2022-01-31,13.280562884784521,2515000000.0,4.741021232201851,51761000000.0,2454000000.0,227400000.0
2023-01-31,12.815222375057314,894000000.0,3.064927210678647,46298000000.0,1419000000.0,218100000.0
2024-01-31,14.173895639737363,675000000.0,2.856025039123631,43452000000.0,1241000000.0,215395970.0
2025-01-31,13.282876064333019,1392000000.0,2.23222885763822,41528000000.0,927000000.0,211400000.0
