dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,-1.7989020780714433,-137482000.0,-26.37487729833621,484916000.0,-127896000.0,158993090.0
2022-12-31,-2.384153927695851,-100254000.0,-23.781275264323888,666701000.0,-158550000.0,158993090.0
2023-12-31,-2.597106578656972,-84838000.0,-11.296109966182811,804029000.0,-90824000.0,158993090.0
2024-12-31,11.81675086044371,215820000.0,-37.24612657234821,1300205000.0,-484276000.0,180315979.0
