dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,24.779195648661243,-5412656000.0,-23.17069585662487,20988131000.0,-4863096000.0,1700885638.0
2022-12-31,21.41091091499872,-12912275000.0,-34.03065166086213,26855119000.0,-9138972000.0,1723918480.0
2023-12-31,19.282599795512716,-1355341000.0,-33.82368085191625,30676067000.0,-10375775000.0,1884005652.0
2024-12-31,16.476780889155574,-4440280000.0,-14.168796110262857,40866309000.0,-5790264000.0,1898112757.0
