dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,44.055656946241065,-479000000.0,13.696020321761218,9448000000.0,1294000000.0,474763094.0
2022-12-31,47.3752358479736,-791000000.0,12.623381327537805,11043000000.0,1394000000.0,482150634.0
2023-12-31,47.559206758579926,-624000000.0,13.658070678127984,11517000000.0,1573000000.0,490588502.0
2024-12-31,51.77837529520388,-1336000000.0,14.5985401459854,11508000000.0,1680000000.0,499301105.0
