dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,329.54080904819784,1631000000.0,36.46000101113939,59339000000.0,21635000000.0,333573254.0
2022-12-31,349.9028908928535,4960000000.0,23.774939301171752,47365000000.0,11261000000.0,334918639.0
2023-12-31,361.5137549605745,-14903000000.0,18.411380637350284,46254000000.0,8516000000.0,323376354.0
2024-12-31,392.70736790947944,-15303000000.0,26.678128270294515,53512000000.0,14276000000.0,310653708.0
