dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,28.697196416440722,-2055000000.0,11.890402799493708,13431000000.0,1597000000.0,544025269.0
2022-12-31,30.34146100072001,-706000000.0,11.338994121489222,15310000000.0,1736000000.0,549578018.0
2023-12-31,31.743874905721402,-527000000.0,12.466563423905393,14206000000.0,1771000000.0,554941703.0
2024-12-31,33.98880446178811,-2723000000.0,14.403690201621902,13441000000.0,1936000000.0,574365598.0
