dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2020-12-31,,154684730000.0,,,,
2021-12-31,6.813453473191374,105189853000.0,8.208529554145715,830687452000.0,68187225000.0,66639000000.0
2022-12-31,6.914003521515989,67433075000.0,9.813886193014788,844501397000.0,82878406000.0,63325000000.0
2023-12-31,6.752640224179343,91753389000.0,9.32713468416926,816012844000.0,76110617000.0,62450000000.0
2024-12-31,7.158918032786885,,3.256709168324281,869221000000.0,28308000000.0,61000000000.0
