dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,2.179435531760238,-228089000.0,,0.0,-180324000.0,604174329.0
2022-12-31,1.8707608959333086,-290815000.0,,0.0,-258043000.0,622602815.0
2023-12-31,1.4813378974748055,-344428000.0,-49714.14728682171,1032000.0,-513050000.0,698262025.0
2024-12-31,1.163466589768319,-476884000.0,-447083.8235294118,136000.0,-608034000.0,784176364.0
