dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,27.137655500605344,2425000000.0,9.004998972813807,29206000000.0,2630000000.0,770663479.0
2022-12-31,30.936892863477553,2277000000.0,11.802096384805793,32723000000.0,3862000000.0,744741888.0
2023-12-31,31.239690936306854,3200000000.0,9.093250164525452,34949000000.0,3178000000.0,692100317.0
2024-12-31,33.73730032229989,2411000000.0,9.816709771730576,35572000000.0,3492000000.0,677291893.0
