dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,19.002191442349663,67012000000.0,29.511677282377917,257637000000.0,76033000000.0,13242420000.0
2022-12-31,19.934936570939374,60010000000.0,21.203807153261963,282836000000.0,59972000000.0,12849000000.0
2023-12-31,22.743097913322632,69495000000.0,24.006649446638516,307394000000.0,73795000000.0,12460000000.0
2024-12-31,26.62222586192777,72764000000.0,28.603671811164,350018000000.0,100118000000.0,12211000000.0
