dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,53.27445720066915,3960000000.0,10.95200702110952,21649000000.0,2371000000.0,334925984.0
2022-12-31,43.400545321060704,3833000000.0,8.323419053720142,21854000000.0,1819000000.0,315111248.0
2023-12-31,51.35153370349546,4005000000.0,10.291820797369503,24330000000.0,2504000000.0,298472098.0
2024-12-31,57.195771018346065,5764000000.0,11.791237113402062,26384000000.0,3111000000.0,287556225.0
