dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,36.476223871465415,3863472000.0,11.830392403984575,19491061000.0,2305869000.0,683509869.0
2022-12-31,39.989960993525905,3893931000.0,14.151734788073117,22055720000.0,3121267000.0,683509869.0
2023-12-31,43.682435842049266,4707103000.0,13.778833426612236,25572056000.0,3523531000.0,683509869.0
2024-12-31,54.02709701035787,7303840000.0,26.502798676581307,36145477000.0,9579563000.0,683509869.0
