dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-03-31,241.72357406616098,1363270910000.0,15.509030171196937,1185394470000.0,183843186000.0,6915992387.0
2022-03-31,270.5994637793073,562514555000.0,21.578924616761697,1163639822000.0,251100960000.0,6948771375.0
2023-03-31,316.7555187201316,-62388729000.0,25.364616578307714,1341894552000.0,340366408000.0,6982815731.0
2024-03-31,384.5333867930015,1536059319000.0,27.45258973546606,1612101952000.0,442563735000.0,7022335643.0
2025-03-31,461.59222312703497,1180352600000.0,24.824565214250352,2055592900000.0,510292000000.0,7121927830.0
