dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2022-03-31,2099.174511493359,1230396000000.0,4.858666737764604,14552696000000.0,707067000000.0,5131801068.0
2023-03-31,2303.6733138279546,1496534000000.0,3.852771440273603,16907725000000.0,651416000000.0,4993021767.0
2024-03-31,2693.3363983413874,138613000000.0,5.419671696852316,20428802000000.0,1107174000000.0,4828907376.0
2025-03-31,2905.2787745489127,-555283000000.0,3.8537783175963853,21688767000000.0,835837000000.0,4346509571.0
