dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,3.9938445159688563,52304000000.0,31.605415860735008,10340000000.0,3268000000.0,10466857143.0
2022-12-31,3.778439951196756,-44979000000.0,26.879868184541643,13352000000.0,3589000000.0,9659012839.0
2023-12-31,4.229483621689528,-18993000000.0,31.368834156573516,14779000000.0,4636000000.0,8792562716.0
2024-12-31,4.896290307010214,694000000.0,32.77144612024841,14653000000.0,4802000000.0,8042415284.0
