dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-10-31,72.32119505864299,2391393000.0,18.99928480521259,7318286000.0,1390422000.0,525330672.0
2022-10-31,71.5994769728589,3776094000.0,22.878073520014603,12013953000.0,2748561000.0,509295941.0
2023-10-31,71.6660656598191,3556171000.0,26.935666938278768,12305539000.0,3314579000.0,496261678.0
2024-10-31,70.87757400936496,3122066000.0,17.346406769294283,9427157000.0,1635273000.0,496296854.0
