dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,34.66225110699418,-313000000.0,23.04964539007092,7614000000.0,1755000000.0,391290224.0
2022-12-31,9.849843572103293,-417000000.0,17.02783929136349,12644000000.0,2153000000.0,365081940.0
2023-12-31,15.448757194207381,-325000000.0,12.367021276595745,10528000000.0,1302000000.0,333877990.0
2024-12-31,11.51338220290808,1853000000.0,10.50896518453003,12437000000.0,1307000000.0,309900248.0
