dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,15.798901853122855,5600000000.0,18.848763405559204,22845000000.0,4306000000.0,1457000000.0
2022-12-31,17.392307692307693,1670000000.0,15.223880597014924,22780000000.0,3468000000.0,1430000000.0
2023-12-31,19.031358885017422,455000000.0,8.085758039816232,22855000000.0,1848000000.0,1435000000.0
2024-12-31,20.027451485363866,2352000000.0,7.420938911805146,25455000000.0,1889000000.0,1436927710.0
