dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2022-03-31,60.07520755688109,90644000000.0,15.44895022846407,790934000000.0,122191000000.0,10964140230.0
2023-03-31,71.35358470239633,115767000000.0,12.543155084232534,904876000000.0,113500000000.0,10956043810.0
2024-03-31,71.96745537559362,165706000000.0,12.30521733995987,897603000000.0,110452000000.0,10438371012.0
2025-03-31,79.39088861588937,154389000000.0,14.744231572236115,890884000000.0,131354000000.0,10460230569.0
