dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,50.1621245783267,39269000000.0,17.005266399606572,209441000000.0,35616000000.0,7757446545.0
2022-12-31,50.47137582306086,42523000000.0,16.855114992883934,215709000000.0,36358000000.0,7757446545.0
2023-12-31,50.62477681565513,43581000000.0,16.685703966229486,221495000000.0,36958000000.0,7757446545.0
2024-12-31,51.02271703762027,50254000000.0,16.269933282292463,228575000000.0,37189000000.0,7757446545.0
