dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,17.974418913112167,8533000000.0,9.503476800139206,149419000000.0,14200000000.0,3132618655.0
2022-12-31,23.105908497502707,10945000000.0,9.353980132745333,179592000000.0,16799000000.0,3132618655.0
2023-12-31,27.16417786536169,12292000000.0,9.810914616131347,189544000000.0,18596000000.0,3023099039.0
2024-12-31,28.50728002246452,-7052000000.0,3.488698224097706,156878000000.0,5473000000.0,2880492279.0
