dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-06-30,19.76106844587788,2155000000.0,16.65504686652723,12909000000.0,2150000000.0,576183420.0
2022-06-30,20.9999838527323,1577000000.0,8.623157292113925,13974000000.0,1205000000.0,550619471.0
2023-06-30,21.380981549506856,1443000000.0,8.308187487427077,14913000000.0,1239000000.0,498480389.0
2024-06-30,23.96660163883388,1495000000.0,10.736766809728184,13980000000.0,1501000000.0,461308623.0
