dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2022-04-30,39.618457020408506,5978000000.0,15.90292242630815,31686000000.0,5039000000.0,1330743395.0
2023-04-30,38.82224917504993,4580000000.0,12.034457360617415,31227000000.0,3758000000.0,1330809036.0
2024-04-30,38.4492922745456,5200000000.0,11.358299344951181,32364000000.0,3676000000.0,1311337531.0
2025-04-30,37.64310515216069,5185000000.0,13.901064495929868,33537000000.0,4662000000.0,1281934628.0
