dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,15.651339928475222,24033000.0,3.6544020298034754,23102138000.0,844245000.0,129186000.0
2022-12-31,11.635033484349613,1521674000.0,3.808309839907275,24696625000.0,940524000.0,116323000.0
2023-12-31,12.149707111537408,647835000.0,1.8476972874574709,17596443000.0,325129000.0,116768000.0
2024-12-31,14.511991842513314,434796000.0,2.6273125868408362,17724956000.0,465690000.0,118664000.0
