dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,18.17043081112718,1660000000.0,1.4092875136650982,42078000000.0,593000000.0,704991540.0
2022-12-31,19.0805673023674,1953000000.0,1.8084475602525198,57342000000.0,1037000000.0,698354498.0
2023-12-31,19.58891386104512,2168000000.0,2.525045163409427,48712000000.0,1230000000.0,701008749.0
2024-12-31,18.608344228223327,1871000000.0,1.5417490463922674,50073000000.0,772000000.0,703770300.0
