dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,48.42915749751956,4194000000.0,0.8159540960018249,113977000000.0,930000000.0,409195638.0
2022-12-31,68.43869996728417,10893000000.0,6.535777257445445,176383000000.0,11528000000.0,372128635.0
2023-12-31,85.58006609238934,8318000000.0,6.10295235069008,144766000000.0,8835000000.0,333301916.0
2024-12-31,87.4060736051243,5776000000.0,2.1327214912111856,129881000000.0,2770000000.0,314863703.0
