dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2022-03-31,452.51733074562355,554693800000.0,37.864941387387674,1019413700000.0,386000400000.0,5545540976.0
2023-03-31,522.9341229350352,433580300000.0,41.10313387949808,1205375000000.0,495446900000.0,5579742786.0
2024-03-31,1038.0792461770993,968484400000.0,31.33755353662172,1986934300000.0,622656600000.0,7596898627.0
2025-03-31,1126.8505542005173,1129220100000.0,28.399998785582948,2371508200000.0,673508300000.0,7652204605.0
