dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,13.436345108474706,1815000000.0,21.615756968786513,5991000000.0,1295000000.0,1437742172.0
2022-12-31,12.313348751908743,3813000000.0,30.851943755169565,7254000000.0,2238000000.0,1443068036.0
2023-12-31,13.393449396191533,2517000000.0,26.71504861016021,7303000000.0,1951000000.0,1448319953.0
2024-12-31,13.608635586384347,1672000000.0,26.269465132024372,7385000000.0,1940000000.0,1453635809.0
