dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,20.502624806181693,-375840000.0,22.98077250732638,1878144000.0,431612000.0,252867623.0
2022-12-31,20.38919183621519,-462457000.0,20.333500580411464,2288032000.0,465237000.0,263737084.0
2023-12-31,21.57434503889275,-265516000.0,24.25845642080334,2053824000.0,498226000.0,273296037.0
2024-12-31,22.55559276204931,-559404000.0,28.536996797393044,2086113000.0,595314000.0,274823591.0
