dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-09-30,40.35699222753882,6573000000.0,14.569055036344755,9630000000.0,1403000000.0,205738821.0
2022-09-30,43.844781422538446,-19000000.0,13.906552391484656,10851000000.0,1509000000.0,215122523.0
2023-09-30,48.79553652325791,-3687000000.0,15.163934426229508,11468000000.0,1739000000.0,208769095.0
2024-09-30,57.39051031113463,1950000000.0,16.362053959965188,12639000000.0,2068000000.0,203291449.0
