dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,0.23244439345806509,875000000.0,5.236803672021698,14379000000.0,753000000.0,44186912178.0
2022-12-31,0.24688305795288015,415000000.0,5.508120947550877,15577000000.0,858000000.0,44186912178.0
2023-12-31,0.27870421851424665,984000000.0,1.0466988727858293,17388000000.0,182000000.0,43472610729.0
2024-12-31,0.28666293792831204,598000000.0,5.796296296296297,16200000000.0,939000000.0,43524984744.0
