dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-06-30,65.14868156475833,2365044000.0,12.169945719295995,14347640000.0,1746100000.0,129145668.0
2022-06-30,68.97500320199492,2211686000.0,8.29427256051215,15861608000.0,1315605000.0,128451172.0
2023-06-30,80.49545209854888,2599183000.0,10.925333358789844,19065194000.0,2082936000.0,128433082.0
2024-06-30,93.9387281415567,2984217000.0,14.271305714724114,19929606000.0,2844215000.0,128603966.0
