dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,14.176470588235293,2892000000.0,23.0460429297067,12206000000.0,2813000000.0,663000000.0
2022-12-31,17.29862174578867,3405000000.0,31.378788669205488,19169000000.0,6015000000.0,653000000.0
2023-12-31,19.218184678307377,2597000000.0,24.557609123082973,15258000000.0,3747000000.0,635700000.0
2024-12-31,22.58678955453149,-853000000.0,18.13676286072773,15940000000.0,2891000000.0,651000000.0
