dates,BOOK_VALUE_PER_SHARE,FREE_CASH_FLOW,NET_MARGIN,TOTAL_REVENUE,NET_INCOME,DILUTED_SHARES_OUTSTANDING
2021-12-31,19.197163718803555,420053893.70711696,6.718116157118827,11443354996.490116,768777880.935667,259033759.0
2022-12-31,20.85727715269057,503000000.0,7.654156488267081,13509000000.0,1034000000.0,259033759.0
2023-12-31,23.713835354433996,630000000.0,6.8221285040932775,12093000000.0,825000000.0,260354342.0
2024-12-31,33.4079964040568,17000000.0,1.5112037519541428,21109000000.0,319000000.0,520444261.0
