NVDA
MSFT
AAPL
AMZN
GOOG
GOOGL
META
AVGO
TSLA
BRK.A
BRK.B
TSM
JPM
WMT
LLY
ORCL
V
TCTZF
TCEHY
NFLX
MA
XOM
COST
JNJ
PG
IDCBF
PLTR
IDCBY
SAPGF
HD
SAP
BAC
BACRP
ABBV
CVX
KO
ACGBY
HESAF
ACGBF
CICHY
HESAY
NONOF
BABAF
NVO
ASMLF
ASML
BABA
GE
CICHF
PM
LVMHF
LVMUY
CSCO
IBM
WFC
RHHVF
RHHBY
TMUS
RHHBF
UNH
AMD
CRM
NSRGF
NSRGY
LRLCF
NVSEF
MS
LRLCY
BACHF
TM
TOYOF
AZNCF
LIN
HBCYF
DIS
HSBC
NVS
GS
BACHY
AXP
ABT
AZN
PCCYF
MCD
INTU
SMAWF
RYDAF
SHEL
BX
SIEGY
RTX
MRK
NOW
CMWAY
TXN
PEP
CBAUF
CAT
T
TBB
UBER
XIACF
XIACY
RY
ISRG
BKNG
RYLBF
DTEGF
ACN
DTEGY
C
HDB
SCHW
CYATY
EADSF
BA
VZ
CTATF
BLK
EADSY
QCOM
ARM
SHOP
SPGI
CIHKY
ALIZF
AMGN
GEV
TMO
NEE
SBGSF
SNEJF
ADBE
SBGSY
ALIZY
BSX
AMAT
HON
IDEXY
PDD
MUFG
IDEXF
SYK
ETN
SONY
UL
UNLYF
PGR
MBFJF
ANET
COF
SPOT
PFE
SAFRF
SAFRY
TTFNF
TTE
TJX
DHR
DE
BUDFF
PNGAY
CILJF
HTHIF
GILD
UNP
BUD
ESLOF
HTHIY
PIAIF
BHP
BHPLF
ESLOY
PANW
KKR
KKRT
BCDRF
CMCSA
CCZ
TD
LRCX
MU
PROSY
APH
SAN
PROSF
APP
BYDDF
KLAC
BYDDY
LOW
ADP
MELI
ABLZF
ADI
SNYNF
RACE
CRWD
ABBNY
IBN
VRTX
SNY
BTAFF
STRF
STRD
STRK
MSTR
COP
AIQUF
AIQUY
UBS
MDT
RYCEY
RLLCF
RYCEF
BTI
IBDSF
IBDRY
BN
SFTBY
CB
LMT
SNPS
NKE
SFTBF
BNPQF
COIN
SBUX
AXAHY
DBSDF
UNCFF
AMT
IITSF
UNCRY
MMC
WELL
AXAHF
RTPPF
ICE
DBSDY
SOJC
SOJD
SOJE
SOJF
SO
CFRHF
CFRUY
RIO
BNPQY
NTDOY
ISNPY
PLDGP
PLD
DASH
RTNTF
INTC
CEG
MPNGF
CSUAY
SE
TT
ZFSVF
NTDOF
MPNGY
CME
ZURVY
ENB
EBRGF
EBBGF
ENNPF
EBBNF
ENBRF
EBGEF
EBRZF
BAM
MO
RNMBF
RNMBY
RLXXF
RELX
HOOD
BMYMP
BMY
CHDRF
RCL
TRI
AAIGF
SMFG
CHDRY
FRCOY
ESOCF
ENLAY
IVSBF
BCMXY
AAGIY
PH
SMFNF
DUKB
DUK
FI
FRCOF
WM
IVSXF
MDLZ
MCO
TDG
CTAS
DELL
KYCCF
MCK
ABNB
MURGY
HCA
APOS
APO
TOELY
NTTYY
MURGF
CDNS
SMNEY
BBVXF
SHW
BBVA
NTES
TOELF
BMWKY
RBLX
SMEGF
UPS
BAMXF
SNPMF
BPAQF
BP
BMO
MMM
CHGCF
EMR
CSLLY
VCISY
FTNT
GD
AJG
TKOMF
VCISF
CI
ORLY
RCRUY
NETTF
NAUBF
CVS
CMXHF
HNHPF
PNC
NABZY
NPPXF
SCCO
CHGCY
LDNXF
CNSWF
ATLFF
AON
HWM
MGCLY
INFY
LNSTY
BAESY
ECL
BAESF
EQIX
ITOCF
TKOMY
MSBHF
WEBNF
RSG
MTSUY
RCRRF
ITW
NOC
MAR
PBR
PBR.A
CVNA
MHVYF
ITOCY
GSK
CMG
MHVIY
WMB
SNOW
ZIJMF
ATLPF
PYPL
CP
SFBQF
JCI
ZIJMY
ATLCY
ATLKY
USB
NGG
NGGTF
CL
MSI
SOBKY
BK
MFG
HKXCY
GLAXF
MZHOF
BNS
CM
NET
PSTVY
EPD
ING
HKXCF
BCLYF
BCS
STOHF
ZTS
APD
CARR
VST
INGVF
EQNR
HLT
NEM
NEMCL
CSX
CNQ
MRVL
FCX
EOG
ITUB
CRH
ADSK
PBCRY
NU
KDDIY
CNI
WFAFF
CHCJY
ELV
LLOBF
LYG
NSC
WFAFY
WDAY
SHECY
AZO
KMI
SHECF
CIXPF
CHBJF
SEMHF
CAIXY
OVCHY
ANZGF
CRWV
ET
DLR
TRV
PWR
THLLY
SMMNY
ANZGY
THLEF
AEM
ENGQF
DGEAF
AXON
REGN
ROP
CMPGF
OVCHF
CHTR
DB
ADYYF
TFC
UMGNF
CODYY
MNST
IFNNY
DEO
UNVGY
IFNNF
AEP
MITSF
CODGF
MBGYY
MITSY
CMPGY
CPNG
MBGAF
NXPI
ADYEY
ARZGY
LLDTF
COR
MKGAF
CIIHY
TGOPY
CRARY
CRARF
MKKGY
DBOEY
ATEYY
DBOEF
DSDVY
LTOUF
ADTTF
AFL
DSDVF
KDDIF
ENGIY
VOLVF
FDX
FLUT
LNG
VLVLY
RBSPF
MQBKY
TGOPF
NWG
MPC
SGAPY
VLKPF
VWAPY
VWAGY
VLKAF
SPG
TEL
AMXOF
FAST
MFC
URI
DPSTF
AMX
DHLGY
SNGNF
ANCTF
OKE
NBNKF
MPLX
AMP
MET
PAYX
JAPAF
ALL
JAPAY
MCQEF
NDAQ
TEAM
PSX
BDX
GM
SRE
SREA
O
CRCL
HINKF
DANOY
HEINY
NPSNY
WMMVF
GPDNF
EXPGF
ENAKF
EXPGY
NAPRF
DDOG
SLB
E
BHKLY
PSA
CTVA
UOVEF
DASTY
TRP
WMMVY
D
DASTF
LHX
TRPRF
EIPAF
HNDAF
GWW
VRT
PCAR
NRDBY
LZAGF
SSREY
EONGY
GLCNF
GLNCY
LZAGY
CMI
TRPPF
HMC
BNKHF
UOVEY
SSREF
LBLCF
PINXY
GMBXF
SU
KR
WCN
JD
TGT
AIG
JDCMF
TAK
GLW
VEEV
HES
GMGSF
CCI
VLO
RBGLY
KDP
DSNKY
ZS
EW
BSQKZ
XYZ
MSCI
CCEP
RBGPF
CPRT
F
BASFY
MIELY
FERG
MIELF
GRMN
EXC
DRPRY
DRPRF
PPCCY
BFFAF
ALC
GVDNY
HLN
HOCPF
FRFHF
FNCTF
KBCSY
FAXXF
OXY
POPMF
HLNCF
HLBZF
GVDBF
HCMLY
ADDDF
ADDYY
ROST
TKPHF
KMB
KVUE
VRSK
FIS
HOCPY
PEG
IMO
HCMLF
VALE
DSKYF
TCOM
ALNY
SCBFF
FJTSF
PMRTY
CBRE
SCBFY
YUM
IDXX
FANG
AME
TRPCF
TTWO
HDLMY
NBCDF
NTIOF
ANYYY
SCGLY
ORANY
XEL
CTPCY
SCGLF
DHI
SKFOF
MCHPP
MCHP
SXYAY
CTPCF
ROK
WPM
FJTSY
SHLAF
EQBBF
DNBBF
IFCZF
ARES
BKR
TTD
OTIS
SHLRF
HEI
HEI.A
CRZBF
KSHTY
CRZBY
ANNSD
JPSTF
VG
CHLSY
CCL
UCBJY
CUK
LDSVF
UCBJF
WTKWY
DNZOF
LGRVF
DTGHF
CAH
DLMAF
FER
SYY
DLMAY
LGRDY
RMD
RSMDF
WOLTF
ABEV
EA
GALDY
NTTDF
FICO
DNBBY
NTDTY
CTSH
NIPNF
ETR
HVRRY
ONC
TSCDF
TRGP
EQT
DTRUY
CEBCF
DAL
HYMTF
PGPHF
ASAZF
TLGPY
PRS
PRH
PRU
PFH
SVKEF
TSCDY
ED
SWZCF
AHODF
ASAZY
AMADF
WAB
GDERF
ADRNY
EBAY
CUKPF
BEIGF
SCMWY
EBKOF
CSGP
PETFF
AMADY
B
BKRKY
DKILY
ANPDF
DKILF
SVNDF
VMC
KUASF
EBKDY
SLF
DNZOY
SLFIF
GWLIF
ARGX
HIG
LYV
GEHC
VICI
MPWR
HSY
FSUMF
TTRAF
IR
STLA
WEC
LVS
CCJ
MSADF
ODFL
MLM
CHT
OLCLY
FSUGY
TYIDY
BRO
TKO
SVNDY
SUHJY
MARUF
TNXXF
TME
MSADY
ANPDY
EXXRF
ACGL
ACGLO
ACGLN
MARUY
KHC
DXCM
KNYJY
FWONA
FWONK
FINMY
CMAKY
EFX
TW
NVZMY
WIT
NUE
WUXAY
RJF
IMBBF
A
FINMF
AAUKF
NGLOY
XYL
SYM
NVZMF
DNKEY
HSHCY
CICOF
WEGZY
CICOY
IMBBY
ELEZY
LI
OWL
FWONB
PUK
ELEZF
AMKBF
STX
BAYZF
DD
AMKAF
WBD
AMKBY
BAYRY
MTB
HENKY
HENOF
HENOY
RWEOY
LPLA
QSR
EXR
KMTUF
EL
DSCSY
RWNFF
STT
SMCI
BIDU
BKRKF
WTW
SAABF
SAABY
TEFOF
VTR
KMTUY
SWDBF
SDVKY
HRSHF
SUHJF
SDVKF
SSUMY
GASNY
STZ
SSUMF
ASMXF
WDS
TSCO
UAL
FNV
BAIDF
NRG
PCG
DISPF
SAXPY
TEF
PSZKF
RKT
IRM
HSNGY
ASMIY
NTR
WOPEF
SZLMY
SWSDF
STM
STMEF
KB
HSNGF
AVB
FITBO
FITBI
FITBP
FITB
LULU
AONNY
ARLUF
BRDCF
HUBS
DTB
DTW
DTG
DTE
RYAAY
SWDBY
HXGBY
LEN
LEN.B
BRDCY
DUAVF
PUTRF
PUTRY
BR
PPRUY
MRAAF
BLMIF
TRAUF
PSZKY
KEYS
IBKR
ASHTF
DLICY
AWK
UI
CAPMF
PDRDF
FCNCP
FCNCA
FCNCO
FCNCB
HXGBF
BDRFF
SSEZY
IQV
BBD
BBDO
VNNVF
AMSYF
K
HPE
ASHTY
PRNDY
AMRZ
PPRUF
JPHLF
KBGGY
IT
RDDT
CGEMY
AEE
DSFIY
NSKFD
OEZVF
VONOY
WSPOF
BDRFY
GIS
MLYBY
ROL
CLNXF
AJINF
JPPHY
TOST
CLLNY
DCNSF
AVIFY
AJINY
SMPNY
BKHPF
VOD
PPERY
SYF
MT
VRSN
HUM
PPL
DIDIY
IP
MRAAY
NHOLF
BNTX
CQP
FSNUY
TDY
MGDDY
MGDDF
ADM
WRB
HLAGF
PPG
AVVIY
NOKBF
CAJPY
KHNGF
EXE
VIK
NOK
DOV
MKL
VODPF
FSNUF
CRBJY
BTGOF
HPGLY
AIVAF
PPERF
OEZVY
VEOEY
VLTO
FUJIF
EQR
CVE
VEOEF
ON
EME
PWCDF
KHNGY
MTSFF
GBOOF
AONNF
SBAC
PINS
ERIXF
SDZXF
WTCHF
SDZNY
BKHYY
CBOE
ERIC
NTRSO
NTRS
ATO
WIGBY
MTD
MTSFY
TU
YAHOY
ANFGF
RKLB
DRI
HBAN
HBANM
HBANL
HBANP
EPIAF
CAJFF
PUBGY
GBERY
GELYF
MTUAF
FUJIY
TYL
CNP
GELYY
CHWRF
EJPRF
DG
FOX
FOXA
MTUAY
IX
GBOOY
FANUF
SOFI
GBERF
CMCLF
TRUMY
GDDY
JBL
ES
AU
SVNLF
ORXCF
CKHUF
MXUBY
YAHOF
EJPRY
PTC
SHG
CKHUY
CHD
SDMHF
ICAGY
EPOBY
EPOAY
BABWF
SVNLY
WDC
FTS
TRUMF
FANUY
CDW
FTRSF
FRTSF
CINF
HPQ
FE
PHG
EXPE
OTSKF
CPAY
TYHOF
RF
OTSKY
CHKP
ABMRF
AAVMY
SW
TROW
TYHOY
CHHQF
GWLLY
DLTR
HUBB
MITEF
TPL
RYLPF
RNECY
HNNMY
CHHQY
ASX
QBIEY
ZM
CKHGY
BEKE
RNECF
PCRHY
QBEIF
PCRFF
SMECF
WOLWF
IOT
GFS
MITEY
AFRM
PMDIY
CJPRF
STE
ULTA
GWLLF
CJPRY
PMCUF
GIB
AMCR
AMCCF
PRYMF
TELNF
TTNDF
BCE
NJDCY
TTDKY
PHM
GRAB
DWAHF
MTCPY
CG
NTAP
NVR
DKNG
PBA
GFI
LII
PPLAF
TELNY
PBNAF
HKHHY
NNDNF
CMS
CMSD
CMSA
CMSC
PRYMY
SRTOY
TPR
TTNDY
SZKMY
CLPBF
GFIOF
CLPHY
AS
DWAHY
ZTCOF
HKHHF
CLPBY
BIP
DVN
CFG
BXBLY
SMCAY
CIMDF
SZKMF
WSM
SAUHF
SAUHY
KAOOY
LDOS
HRNNF
ASBFY
SGBLY
BMBLF
NURAF
BDORY
KAOCF
LUV
GXYYY
FYGGY
TPG
NRILY
SIGGF
SSNC
RPGRY
RSNHF
FMX
FMXUF
LH
TNRSF
RBA
SGGKY
LYB
RPGRF
DQJCF
SGGKF
KEY
NTNX
DQJCY
SGSOY
TERRF
JDHIF
ESLT
DOW
RPRX
RSHGY
PODD
TWLO
GPN
CLPHF
LGGNF
CMTDF
TTDKF
APTPF
FLEX
NCBDY
TEZNY
AER
INVH
SNMRY
EIX
SCHYF
TS
DOGEF
ASTS
TRMB
FIX
CCHGY
NISTF
STLD
IVBXF
CRWOF
LGGNY
INSM
SMMT
NPSCY
IFF
NCBDF
CYBR
IVBIY
CRBG
CRBD
DNNGY
L
TNABF
NI
NXGPY
USFD
CCOZY
VWSYF
MKC
MKC.V
CCHBF
GXYEF
WSO
NPCPF
SCHYY
PSTG
CASY
NTRA
NPPHY
TNABY
FSLR
VWDRY
KONMY
KGC
GEN
LPGCY
KNAMF
TECK
CAOVY
KKPNF
GWRE
TSN
XROLF
DGX
NRSCF
CTRA
ZG
Z
UMC
NMR
ESS
BNDSF
ERNXY
SUTNY
TEVA
KKPNY
ZBH
CLS
CW
WY
SURDF
CABGY
BIIB
ICHGF
TRU
HAL
EVGGF
UNPRF
ELCPF
PFG
EC
BNCZF
OBIIF
VIV
MDB
WPLCF
BAP
EDPFY
RCI
PKG
WEICF
ALFVY
EUXTF
OMVJF
SBGOF
NWSA
NWS
ACSAY
CABJF
MZTFF
IHG
BSBR
CSL
EMBVF
CTTAF
RS
WIZEY
MAA
BNDSY
REPYF
SNA
ALPMY
RL
BSY
EVVTY
NEMTF
SMTOY
SINGY
YUMC
OMVKY
PNR
TRMLF
XPEV
CTTAY
GFL
REPYY
FFIV
NNGPF
RYAN
NNGRY
LFABF
ASBRF
KRYAF
NEMKY
MDIBY
ONON
KRYAY
TRATF
IPXHF
BOUYY
ASCCF
BOIVF
FTV
AIPUY
WAT
SINGF
SMTOF
GPC
RBRK
ETTYF
CJEWY
ASCCY
SONVF
ZBRA
ALAB
DUOL
KYOCF
ALPMF
SONVY
DKS
BURL
JRONF
TLK
KSPI
SNAP
OKTA
LFCBY
SGGEF
TYNPF
J
MTRAF
HLMAF
KEP
STMZF
AIBRF
HALMY
LNT
IPXHY
ERIE
ALMMF
SSLZY
AIRYY
SBMFF
FOJCF
FOJCY
FDS
LNVGF
BNT
HLDCY
AIBGY
EBR.B
EBR
WMG
CHWY
THC
JRONY
BMXXY
SFM
CNH
AHCHY
AKESF
HLDVF
SN
SGPYY
CPT
STOSF
ARCC
HOKCY
EQH
DT
MONRF
BALL
CRDO
DOCU
PKX
NPXYY
HRL
LNVGY
SUI
SOMLY
SOMLF
PRDSY
SARTF
DPZ
CKISY
NESRF
EVRG
JMHLY
CLX
MONRY
IVTBF
CNGKY
KNRRY
FMCQF
SBHMY
RIVN
IHICY
PRDSF
FMS
